Date,Open,High,Low,Vol.,Change %
12/01/2022,106.42,107.0,106.02,2.05M,0.13%
11/30/2022,106.1,106.62,105.28,1.86M,0.09%
11/29/2022,106.12,107.2,105.58,3.28M,0.59%
11/28/2022,104.9,105.9,103.52,2.62M,0.34%
11/25/2022,106.16,106.8,104.88,2.74M,-0.72%
11/24/2022,107.36,107.86,105.6,2.70M,-0.54%
11/23/2022,107.54,107.96,105.6,3.97M,-0.09%
11/22/2022,104.88,107.76,103.2,5.26M,2.42%
11/21/2022,105.8,105.8,103.16,3.58M,-1.49%
11/18/2022,105.6,105.98,104.5,2.68M,0.21%
11/17/2022,107.24,108.0,105.12,3.55M,-1.34%
11/16/2022,104.8,107.5,104.28,4.95M,3.06%
11/15/2022,107.2,109.5,101.3,9.53M,-2.84%
11/14/2022,107.7,108.0,105.66,5.60M,-0.02%
11/11/2022,107.6,109.0,104.58,4.95M,-0.30%
11/10/2022,104.22,107.76,103.12,7.59M,2.93%
11/09/2022,108.42,108.98,103.82,8.10M,-4.45%
11/08/2022,110.2,111.5,108.06,7.29M,-0.73%
11/07/2022,105.0,111.0,104.52,12.08M,5.69%
11/03/2022,100.5,104.8,99.16,9.23M,3.36%
11/02/2022,103.34,103.46,98.52,4.31M,-2.58%
11/01/2022,103.3,104.88,101.3,6.17M,0.19%
10/31/2022,106.26,106.26,101.82,8.62M,-2.74%
10/28/2022,105.56,106.76,103.16,10.42M,0.38%
10/27/2022,100.5,107.24,99.2,18.25M,5.37%
10/26/2022,96.32,101.4,95.02,11.58M,4.07%
10/25/2022,93.46,97.0,93.18,7.47M,3.02%
10/24/2022,94.52,95.26,92.02,9.12M,-0.91%
10/21/2022,89.36,94.5,87.8,15.86M,5.62%
10/20/2022,86.18,89.9,85.74,9.75M,4.71%
10/19/2022,84.7,85.94,83.56,5.17M,0.40%
10/18/2022,88.08,88.34,84.82,10.14M,-3.17%
10/17/2022,83.1,87.72,82.14,12.33M,6.38%
10/14/2022,82.24,83.86,80.22,7.20M,0.05%
10/13/2022,81.82,83.24,81.04,3.97M,0.15%
10/12/2022,83.38,83.62,80.68,6.84M,-0.60%
10/11/2022,78.3,83.36,76.52,14.88M,5.99%
10/10/2022,71.98,78.22,70.4,13.72M,5.71%
10/07/2022,78.0,78.0,73.2,13.89M,-5.52%
10/06/2022,80.16,82.28,77.56,13.51M,-2.74%
10/05/2022,82.3,82.44,77.5,11.66M,-3.46%
10/04/2022,87.0,87.38,81.74,10.88M,-3.99%
10/03/2022,85.46,88.26,82.2,12.09M,2.19%
09/30/2022,78.5,85.4,75.0,18.43M,8.76%
09/29/2022,81.7,82.3,76.5,8.65M,-4.46%
09/28/2022,82.66,84.94,79.18,11.31M,-0.22%
09/27/2022,79.74,82.7,76.12,10.86M,5.92%
09/26/2022,90.36,91.14,77.04,19.46M,-15.63%
09/23/2022,100.46,100.46,90.02,14.33M,-8.84%
09/22/2022,101.0,104.48,100.16,7.10M,0.08%
09/21/2022,97.2,106.14,97.2,12.42M,-7.72%
09/20/2022,117.0,117.1,106.5,14.20M,-6.75%
09/19/2022,117.24,117.96,115.9,3.90M,-0.38%
09/16/2022,118.96,119.14,116.6,5.27M,-1.43%
09/15/2022,118.28,119.28,117.72,3.80M,0.85%
09/14/2022,118.34,118.34,115.32,4.32M,-0.42%
09/13/2022,119.98,120.78,117.76,4.81M,-1.20%
09/12/2022,117.5,121.7,117.48,7.28M,1.72%
09/09/2022,117.02,117.98,116.0,6.41M,0.82%
09/08/2022,119.2,119.36,116.66,4.79M,-1.72%
09/07/2022,121.48,122.46,118.84,6.11M,-1.87%
09/06/2022,125.8,125.82,120.66,6.62M,-3.89%
09/05/2022,123.0,126.0,121.58,4.69M,2.86%
09/02/2022,118.66,122.5,118.42,5.49M,3.81%
09/01/2022,121.4,121.76,117.18,5.26M,-2.20%
08/31/2022,119.0,123.96,118.12,5.45M,1.51%
08/30/2022,116.5,119.5,116.5,8.20M,2.03%
08/29/2022,115.02,116.5,114.58,3.94M,1.30%
08/26/2022,115.42,115.42,113.52,3.94M,-0.17%
08/25/2022,117.48,117.78,114.5,4.17M,-1.94%
08/24/2022,116.86,117.48,116.4,1.69M,0.51%
08/23/2022,116.6,117.72,116.22,2.45M,0.36%
08/22/2022,115.1,117.08,114.3,3.28M,1.36%
08/19/2022,115.2,115.42,113.78,4.05M,-0.31%
08/18/2022,116.3,116.5,114.94,3.69M,-0.81%
08/17/2022,117.96,118.0,116.2,3.44M,-1.53%
08/16/2022,117.94,118.48,116.68,4.27M,0.03%
08/15/2022,117.68,117.96,115.7,2.90M,0.68%
08/12/2022,117.22,117.96,115.0,4.02M,-0.44%
08/11/2022,118.5,119.98,117.1,3.52M,-0.69%
08/10/2022,118.36,118.5,116.52,3.13M,-0.57%
08/09/2022,119.1,119.18,116.12,4.25M,0.37%
08/08/2022,122.5,122.5,118.08,2.96M,-1.13%
08/05/2022,124.48,125.0,119.36,2.63M,-3.53%
08/04/2022,125.0,126.8,121.56,2.49M,-0.43%
08/03/2022,127.14,129.12,124.7,2.87M,-3.82%
08/02/2022,131.7,132.96,130.0,2.76M,-1.29%
08/01/2022,131.94,136.36,128.2,10.76M,1.31%
07/29/2022,124.52,130.0,124.52,2.39M,3.59%
07/28/2022,125.98,127.8,123.0,6.16M,-0.05%
07/27/2022,123.5,126.7,122.12,4.58M,2.00%
07/26/2022,119.32,123.1,119.32,1.86M,3.69%
07/25/2022,117.02,121.98,116.8,2.93M,1.09%
07/22/2022,115.36,117.5,114.06,1.98M,1.35%
07/21/2022,119.42,119.42,114.0,3.24M,-3.42%
07/20/2022,123.3,123.82,118.6,3.29M,-2.61%
07/19/2022,125.7,126.04,121.0,2.87M,-1.80%
07/18/2022,129.4,130.04,125.46,1.56M,-3.33%
07/15/2022,127.3,129.78,124.7,1.87M,2.08%
07/14/2022,129.8,131.2,126.02,1.57M,-2.05%
07/13/2022,132.8,133.02,128.1,1.65M,-2.05%
07/12/2022,136.2,136.48,132.4,1.48M,-2.93%
07/11/2022,138.0,138.5,135.5,1.02M,-1.07%
07/08/2022,138.2,138.2,135.6,945.84K,-0.27%
07/07/2022,138.62,139.66,136.5,1.26M,-0.37%
07/06/2022,136.0,140.5,135.6,2.52M,1.76%
07/05/2022,135.34,136.78,132.48,1.54M,0.74%
07/04/2022,135.0,136.5,133.46,1.61M,1.80%
07/01/2022,133.3,140.18,131.08,3.33M,-0.22%
06/30/2022,137.78,139.96,133.0,3.83M,-3.18%
06/29/2022,133.9,139.14,131.44,2.60M,2.82%
06/28/2022,135.44,135.84,133.9,1.38M,-1.47%
06/27/2022,135.7,136.18,134.0,1.40M,0.07%
06/24/2022,137.0,138.5,134.32,1.98M,-0.80%
06/23/2022,134.86,137.0,132.4,2.11M,1.59%
06/22/2022,132.78,137.18,130.2,1.90M,0.42%
06/21/2022,135.0,138.92,132.96,4.05M,-0.06%
06/20/2022,130.34,134.38,130.02,2.52M,3.27%
06/17/2022,131.0,131.72,129.92,1.27M,-0.67%
06/16/2022,129.0,132.48,128.34,2.76M,1.72%
06/15/2022,129.44,130.0,128.5,1.81M,-0.82%
06/14/2022,129.5,129.84,127.3,1.55M,-0.66%
06/10/2022,129.8,131.0,126.1,1.75M,0.71%
06/09/2022,134.0,139.48,128.06,2.64M,-3.06%
06/08/2022,133.0,135.46,132.02,2.22M,1.44%
06/07/2022,129.4,133.0,124.5,4.69M,1.92%
06/06/2022,130.02,130.2,127.02,1.82M,-0.40%
06/03/2022,135.2,135.8,124.12,7.32M,-4.58%
06/02/2022,141.88,142.5,135.1,2.52M,-4.18%
06/01/2022,144.0,144.2,140.62,2.68M,-1.46%
05/31/2022,144.9,145.54,142.12,1.23M,-0.84%
05/30/2022,149.92,150.0,143.8,2.66M,-2.90%
05/27/2022,151.0,151.88,149.04,1.22M,-0.61%
05/26/2022,150.5,153.62,147.6,1.29M,0.19%
05/25/2022,149.48,152.9,148.0,934.81K,2.38%
05/24/2022,151.82,152.26,146.8,1.61M,-2.88%
05/23/2022,157.02,157.84,150.3,1.23M,-2.94%
05/20/2022,161.5,161.5,155.7,1.54M,-3.51%
05/19/2022,160.34,161.62,157.14,936.86K,0.82%
05/18/2022,159.0,162.48,159.0,2.56M,0.82%
05/17/2022,159.46,160.48,159.0,1.20M,-0.63%
05/16/2022,155.88,160.0,155.04,923.88K,3.16%
05/13/2022,156.02,157.44,155.0,602.34K,-0.58%
05/12/2022,159.08,160.5,155.5,927.77K,-2.12%
05/11/2022,160.52,160.9,158.04,1.08M,-1.62%
05/06/2022,157.64,162.0,156.66,853.33K,2.57%
05/05/2022,156.6,157.94,155.0,700.78K,1.90%
05/04/2022,160.48,160.68,155.0,796.49K,-2.27%
04/29/2022,154.1,160.86,154.1,1.78M,0.86%
04/28/2022,159.96,162.0,157.0,1.92M,-0.58%
04/27/2022,157.98,160.84,156.24,1.19M,0.11%
04/26/2022,151.2,157.98,150.54,1.31M,3.40%
04/25/2022,155.46,155.78,149.4,1.18M,-1.98%
04/22/2022,154.66,159.5,153.2,1.83M,0.55%
04/21/2022,156.5,156.5,152.08,1.59M,-0.96%
04/20/2022,149.5,158.9,147.0,2.64M,4.92%
04/19/2022,148.3,150.0,143.0,1.76M,0.78%
04/18/2022,155.0,155.84,148.0,1.24M,-4.65%
04/15/2022,150.2,155.22,145.6,2.26M,3.34%
04/14/2022,155.0,155.0,150.0,1.46M,-3.10%
04/13/2022,157.34,157.76,152.02,1.21M,-0.28%
04/12/2022,159.12,159.12,152.1,1.69M,-1.12%
04/11/2022,161.16,161.44,156.42,1.98M,-2.45%
04/08/2022,162.5,162.5,160.0,1.29M,0.39%
04/07/2022,160.5,163.2,160.1,1.73M,0.01%
04/06/2022,162.5,163.0,158.1,2.41M,-1.23%
04/05/2022,171.88,172.84,161.2,3.85M,-5.47%
04/04/2022,173.4,177.82,166.1,3.97M,-0.75%
04/01/2022,174.7,181.46,172.0,7.91M,0.76%
03/31/2022,170.0,179.52,168.5,6.57M,2.93%
03/30/2022,164.0,168.4,160.0,2.62M,5.68%
03/29/2022,164.08,175.0,152.0,4.22M,-3.35%
03/28/2022,173.42,174.9,159.3,2.15M,-5.49%
03/25/2022,183.1,192.0,170.4,2.46M,-5.46%
03/24/2022,170.0,212.22,161.0,11.80M,3.10%
02/25/2022,185.12,202.34,160.96,22.10M,-1.76%
02/24/2022,198.1,207.98,142.0,30.19M,-17.89%
02/22/2022,200.82,223.54,191.92,30.43M,9.48%
02/21/2022,226.9,230.5,186.0,36.90M,-11.42%
02/18/2022,228.92,231.52,223.56,15.29M,-0.27%
02/17/2022,235.7,235.7,225.84,15.81M,-3.47%
02/16/2022,233.0,236.5,230.44,8.91M,1.14%
02/15/2022,227.88,236.2,227.88,15.82M,2.20%
02/14/2022,220.96,230.5,216.54,15.81M,2.96%
02/11/2022,226.0,228.72,219.0,15.43M,-2.31%
02/10/2022,232.2,232.42,224.4,18.41M,-2.49%
02/09/2022,226.78,233.3,226.78,18.17M,2.53%
02/08/2022,221.0,228.0,219.3,16.23M,2.82%
02/07/2022,216.5,220.8,215.44,16.41M,1.74%
02/04/2022,216.18,219.84,214.0,9.53M,0.27%
02/03/2022,219.78,221.92,213.52,13.89M,-1.64%
02/02/2022,215.3,219.98,214.82,13.07M,2.08%
02/01/2022,214.4,215.5,211.62,7.22M,0.92%
01/31/2022,210.74,215.94,210.74,7.68M,1.24%
01/28/2022,210.52,212.7,206.26,7.38M,1.04%
01/27/2022,201.24,211.48,198.88,11.23M,3.24%
01/26/2022,198.0,206.64,194.62,14.02M,1.86%
01/25/2022,195.64,200.62,191.74,13.27M,0.97%
01/24/2022,207.8,208.4,193.04,20.22M,-5.05%
01/21/2022,209.7,211.46,206.08,12.27M,-1.37%
01/20/2022,212.0,215.12,207.2,10.26M,-0.22%
01/19/2022,204.1,212.94,198.5,19.71M,2.20%
01/18/2022,211.5,212.22,198.5,19.66M,-2.74%
01/17/2022,214.0,216.72,207.62,9.45M,-1.17%
01/14/2022,218.12,220.44,211.02,12.60M,-2.29%
01/13/2022,220.58,221.52,216.96,10.26M,-0.71%
01/12/2022,217.3,220.98,215.76,8.10M,1.52%
01/11/2022,212.9,217.94,210.92,9.42M,2.34%
01/10/2022,214.62,215.82,210.5,5.67M,-0.70%
01/06/2022,213.04,217.98,211.8,9.23M,0.09%
01/05/2022,218.5,218.76,212.32,5.96M,-2.19%
01/04/2022,218.8,219.4,216.52,6.52M,-0.13%
01/03/2022,217.04,219.04,216.12,4.19M,0.76%
12/30/2021,215.02,217.9,213.0,6.19M,0.94%
12/29/2021,215.86,216.72,213.5,4.07M,-0.34%
12/28/2021,215.0,217.62,214.32,8.35M,0.54%
12/27/2021,212.4,215.0,211.9,4.54M,1.04%
12/24/2021,211.2,212.5,209.5,3.79M,0.58%
12/23/2021,211.0,212.56,209.8,6.43M,0.16%
12/22/2021,212.4,212.8,210.68,5.80M,-0.69%
12/21/2021,215.84,217.7,209.7,11.14M,-1.16%
12/20/2021,210.32,215.8,207.14,14.06M,1.95%
12/17/2021,210.0,211.12,207.38,10.41M,0.57%
12/16/2021,202.88,211.92,202.88,13.92M,3.31%
12/15/2021,199.8,203.56,197.76,8.87M,1.49%
12/14/2021,203.9,204.0,184.8,21.75M,-2.11%
12/13/2021,212.2,213.64,202.72,11.59M,-3.82%
12/10/2021,211.5,214.06,209.22,10.76M,0.48%
12/09/2021,208.06,212.18,207.28,13.85M,1.63%
12/08/2021,208.36,210.16,206.02,10.32M,-0.27%
12/07/2021,207.0,209.76,202.5,16.81M,0.71%
12/06/2021,207.16,209.4,205.1,14.50M,-5.70%
12/03/2021,218.68,221.98,217.7,22.90M,0.49%
12/02/2021,217.42,218.5,215.32,12.65M,0.98%
12/01/2021,217.6,220.0,215.32,14.87M,-0.40%
11/30/2021,218.02,219.5,214.1,23.08M,-1.37%
11/29/2021,219.02,222.1,218.4,11.26M,1.27%
11/26/2021,220.92,220.96,215.82,12.40M,-2.67%
11/25/2021,223.0,224.52,222.14,5.45M,0.28%
11/24/2021,223.0,225.24,220.0,11.96M,-0.05%
11/23/2021,217.96,223.6,213.72,15.52M,1.64%
11/22/2021,223.0,224.62,212.34,16.17M,-1.51%
11/19/2021,225.5,226.5,220.7,7.97M,-0.94%
11/18/2021,222.86,226.8,222.34,11.19M,0.62%
11/17/2021,224.66,224.66,222.28,6.24M,0.36%
11/16/2021,221.96,222.8,220.1,8.38M,0.55%
11/15/2021,219.2,223.28,215.4,14.57M,0.14%
11/12/2021,225.0,225.38,219.3,14.87M,-1.66%
11/11/2021,222.0,225.0,221.18,12.08M,1.33%
11/10/2021,227.0,228.18,221.5,11.79M,-2.35%
11/09/2021,223.08,229.38,221.28,16.42M,1.74%
11/08/2021,222.68,223.82,219.5,12.43M,0.72%
11/05/2021,223.0,223.42,219.22,10.12M,-1.37%
11/03/2021,225.4,225.4,222.22,8.59M,-0.13%
11/02/2021,227.7,228.1,224.1,7.97M,-1.18%
11/01/2021,223.9,227.92,223.62,9.18M,1.82%
10/29/2021,225.24,225.5,221.16,8.51M,-0.92%
10/28/2021,228.9,229.66,222.2,17.30M,-1.37%
10/27/2021,230.98,230.98,224.72,11.92M,-0.99%
10/26/2021,228.6,234.46,227.64,20.65M,0.99%
10/25/2021,227.0,228.9,225.76,12.87M,1.49%
10/22/2021,225.7,228.2,224.48,14.52M,-0.19%
10/21/2021,219.02,228.4,219.02,27.85M,2.37%
10/20/2021,221.6,222.3,217.04,14.32M,-0.68%
10/19/2021,220.64,224.06,218.22,18.90M,1.36%
10/18/2021,211.84,219.5,209.2,15.23M,3.63%
10/15/2021,216.9,217.62,210.1,14.03M,-1.92%
10/14/2021,215.5,216.4,214.5,8.68M,0.53%
10/13/2021,219.5,219.62,213.5,13.59M,-2.05%
10/12/2021,221.34,221.34,217.2,15.33M,-1.17%
10/11/2021,222.6,224.88,220.3,14.05M,-0.12%
10/08/2021,218.36,224.6,214.74,21.95M,2.02%
10/07/2021,212.6,217.66,212.36,19.05M,3.13%
10/06/2021,206.86,212.44,204.6,24.15M,1.53%
10/05/2021,204.48,209.0,200.72,22.61M,1.20%
10/04/2021,211.54,212.06,202.26,21.87M,-3.41%
10/01/2021,216.62,216.62,211.5,9.60M,-1.90%
09/30/2021,219.72,219.98,215.12,9.59M,-0.87%
09/29/2021,218.0,220.9,217.54,8.27M,0.05%
09/28/2021,223.5,223.76,216.7,9.61M,-2.12%
09/27/2021,225.5,227.2,221.88,8.13M,-0.61%
09/24/2021,224.3,227.6,221.88,9.98M,0.17%
09/23/2021,222.88,224.84,217.4,20.03M,1.49%
09/22/2021,215.9,222.0,214.54,11.91M,3.19%
09/21/2021,213.5,216.4,211.16,13.26M,0.77%
09/20/2021,219.0,222.86,211.02,18.51M,-3.95%
09/17/2021,227.16,227.2,220.22,15.01M,-2.44%
09/16/2021,230.24,230.74,225.3,10.34M,-1.60%
09/15/2021,228.2,233.12,224.2,14.40M,0.32%
09/14/2021,233.94,234.38,228.5,12.68M,-2.21%
09/13/2021,232.0,235.86,230.26,8.46M,1.51%
09/10/2021,227.0,232.92,225.5,13.98M,2.13%
09/09/2021,236.0,236.42,226.2,16.12M,-4.16%
09/08/2021,235.1,237.46,235.1,7.46M,0.03%
09/07/2021,238.42,238.48,234.8,6.47M,-0.50%
